config_id,asset,rv_lookback,elevated_pct,compressed_pct,buy_multiplier,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg16_rv60_ep80.0_cp20.0_bm2.0,SILVER,60,80.0,20.0,2.0,1.6408037046218311,0.31090567520259793,1.686659698183187,0.3196772758715409,False,1.6383564690157468,0.30923467965934665,1.6841286627489933,0.31790937005101605,False
cfg16_rv60_ep80.0_cp20.0_bm2.0,BTC,60,80.0,20.0,2.0,9.54266417820324,1.074857443308981,9.855679074865842,1.0673092354078406,False,9.528361215149328,1.072945093868934,9.84088617851966,1.0652491717139174,False
cfg16_rv60_ep80.0_cp20.0_bm2.0,OIL,60,80.0,20.0,2.0,1.1533511039948046,0.21723804883544362,1.1798550873762443,0.22782375575083372,False,1.1516364165014998,0.2157651440845713,1.1780850183556857,0.2262905906561879,False
cfg17_rv60_ep80.0_cp20.0_bm3.0,SP500,60,80.0,20.0,3.0,78.42897965988024,0.15625906145037985,85.27722344483453,0.1530965091120862,False,78.3132468186887,0.15551486217760097,85.14917987853534,0.15233705290993851,False
cfg17_rv60_ep80.0_cp20.0_bm3.0,GOLD,60,80.0,20.0,3.0,2.205842238436042,0.502481499927497,2.2312322553607693,0.5049170813430391,False,2.2025512738461135,0.49963278366588476,2.227883543414292,0.5019039393179513,False
cfg17_rv60_ep80.0_cp20.0_bm3.0,SILVER,60,80.0,20.0,3.0,1.6593042902903625,0.3143215832812548,1.686659698183187,0.3196772758715409,False,1.656827773441953,0.31265425099284794,1.6841286627489933,0.31790937005101605,False
cfg17_rv60_ep80.0_cp20.0_bm3.0,BTC,60,80.0,20.0,3.0,9.634216031953303,1.0783226706542044,9.855679074865842,1.0673092354078406,False,9.61975566269856,1.0764121243301878,9.84088617851966,1.0652491717139174,False
cfg17_rv60_ep80.0_cp20.0_bm3.0,OIL,60,80.0,20.0,3.0,1.1619798239247703,0.22050737346070698,1.1798550873762443,0.22782375575083372,False,1.160242871929144,0.21904088357294663,1.1780850183556857,0.2262905906561879,False
cfg18_rv60_ep90.0_cp10.0_bm1.5,SP500,60,90.0,10.0,1.5,78.23001634559303,0.15608258018693724,85.27722344483453,0.1530965091120862,False,78.11477274089553,0.15533805351677324,85.14917987853534,0.15233705290993851,False
cfg18_rv60_ep90.0_cp10.0_bm1.5,GOLD,60,90.0,10.0,1.5,2.1105458211310073,0.4966036108372932,2.2312322553607693,0.5049170813430391,False,2.1075298451430133,0.49367338854479853,2.227883543414292,0.5019039393179513,False
cfg18_rv60_ep90.0_cp10.0_bm1.5,SILVER,60,90.0,10.0,1.5,1.6025675989380406,0.30322416657762064,1.686659698183187,0.3196772758715409,False,1.6003201226800678,0.30150603184358626,1.6841286627489933,0.31790937005101605,False
cfg18_rv60_ep90.0_cp10.0_bm1.5,BTC,60,90.0,10.0,1.5,9.165667449494766,1.0646993367805804,9.855679074865842,1.0673092354078406,False,9.152039515390749,1.0627800839891757,9.84088617851966,1.0652491717139174,False
