config_id,asset,strong_season_start_month,weak_season_start_month,mild_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg13_ss10_ws4_mt0.0_ml12,GOLD,10,4,0.0,12,2.2059346769731167,0.508464675649459,2.2312322553607693,0.5049170813430391,False,2.202623949378578,0.5061815234063344,2.227883543414292,0.5019039393179513,False
cfg13_ss10_ws4_mt0.0_ml12,SILVER,10,4,0.0,12,1.6879010010886204,0.32482919717385045,1.686659698183187,0.3196772758715409,True,1.68536810183625,0.3234901943459316,1.6841286627489933,0.31790937005101605,True
cfg13_ss10_ws4_mt0.0_ml12,BTC,10,4,0.0,12,9.599657196447287,1.11960176196779,9.855679074865842,1.0673092354078406,False,9.585248717335963,1.1180161168568505,9.84088617851966,1.0652491717139174,False
cfg13_ss10_ws4_mt0.0_ml12,OIL,10,4,0.0,12,1.1816029850806684,0.24061201353755043,1.1798550873762443,0.22782375575083372,True,1.17983029158908,0.23947117195932413,1.1780850183556857,0.2262905906561879,True
cfg14_ss10_ws4_mt0.5_ml6,SP500,10,4,0.5,6,85.30948908384605,0.15381489524142924,85.27722344483453,0.1530965091120862,True,85.1813970706418,0.15307136839959176,85.14917987853534,0.15233705290993851,True
cfg14_ss10_ws4_mt0.5_ml6,GOLD,10,4,0.5,6,2.2189599818411185,0.5071689369214998,2.2312322553607693,0.5049170813430391,False,2.2156296967317624,0.5045243264947085,2.227883543414292,0.5019039393179513,False
cfg14_ss10_ws4_mt0.5_ml6,SILVER,10,4,0.5,6,1.6877208197876956,0.32253156215408507,1.686659698183187,0.3196772758715409,True,1.6851881910778221,0.32097905869810234,1.6841286627489933,0.31790937005101605,True
cfg14_ss10_ws4_mt0.5_ml6,BTC,10,4,0.5,6,9.716646073905123,1.0943105578215202,9.855679074865842,1.0673092354078406,False,9.702061935818632,1.092499716507277,9.84088617851966,1.0652491717139174,False
cfg14_ss10_ws4_mt0.5_ml6,OIL,10,4,0.5,6,1.1809054759951658,0.23442464851074019,1.1798550873762443,0.22782375575083372,True,1.179133829814517,0.23308395944390634,1.1780850183556857,0.2262905906561879,True
cfg15_ss10_ws4_mt0.5_ml12,SP500,10,4,0.5,12,85.30204124949796,0.15425581455374027,85.27722344483453,0.1530965091120862,True,85.17396041922807,0.1535127212438834,85.14917987853534,0.15233705290993851,True
cfg15_ss10_ws4_mt0.5_ml12,GOLD,10,4,0.5,12,2.2182717907942058,0.5055872591227739,2.2312322553607693,0.5049170813430391,False,2.2149425390047384,0.5029386295887461,2.227883543414292,0.5019039393179513,False
cfg15_ss10_ws4_mt0.5_ml12,SILVER,10,4,0.5,12,1.687015731083574,0.3210632829156174,1.686659698183187,0.3196772758715409,True,1.6844841610654473,0.31950838652384506,1.6841286627489933,0.31790937005101605,True
cfg15_ss10_ws4_mt0.5_ml12,BTC,10,4,0.5,12,9.769945367409939,1.0965468315309908,9.855679074865842,1.0673092354078406,False,9.755281200354219,1.0947352726647857,9.84088617851966,1.0652491717139174,False
cfg15_ss10_ws4_mt0.5_ml12,OIL,10,4,0.5,12,1.1815516182652157,0.23447351161293858,1.1798550873762443,0.22782375575083372,True,1.1797790019009786,0.23313152261817013,1.1780850183556857,0.2262905906561879,True
