config_id,asset,illiq_lookback,elevated_pct,decay_days,buy_multiplier,calm_fraction,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg07_lb126_ep90_dd10_bm2.0_cf0.95,OIL,126,90.0,10,2.0,0.95,1.1798891416809736,0.2281376298832393,1.1798550873762443,0.22782375575083372,True,1.178119021527826,0.22661949892333344,1.1780850183556857,0.2262905906561879,True
cfg08_lb126_ep95_dd5_bm1.5_cf0.85,SP500,126,95.0,5,1.5,0.85,77.29540974940475,0.15985331376614453,85.27722344483453,0.1530965091120862,False,77.18157938277051,0.15912879879810332,85.14917987853534,0.15233705290993851,False
cfg08_lb126_ep95_dd5_bm1.5_cf0.85,GOLD,126,95.0,5,1.5,0.85,2.1796361071377994,0.5027575810899892,2.2312322553607693,0.5049170813430391,False,2.176416473273428,0.49994080066081054,2.227883543414292,0.5019039393179513,False
cfg08_lb126_ep95_dd5_bm1.5_cf0.85,SILVER,126,95.0,5,1.5,0.85,1.6594715841103518,0.3159704626077273,1.686659698183187,0.3196772758715409,False,1.6570243788661232,0.314279510865699,1.6841286627489933,0.31790937005101605,False
cfg08_lb126_ep95_dd5_bm1.5_cf0.85,BTC,126,95.0,5,1.5,0.85,8.961483732665354,1.0478855717884255,9.855679074865842,1.0673092354078406,False,8.948168380708035,1.045901262409132,9.84088617851966,1.0652491717139174,False
cfg08_lb126_ep95_dd5_bm1.5_cf0.85,OIL,126,95.0,5,1.5,0.85,1.1853398983964007,0.22867925060805888,1.1798550873762443,0.22782375575083372,True,1.183577560185491,0.22718490612401343,1.1780850183556857,0.2262905906561879,True
cfg09_lb126_ep95_dd5_bm1.5_cf0.95,SP500,126,95.0,5,1.5,0.95,83.94546391947617,0.1565644845687787,85.27722344483453,0.1530965091120862,False,83.81959740163984,0.15582067227979846,85.14917987853534,0.15233705290993851,False
cfg09_lb126_ep95_dd5_bm1.5_cf0.95,GOLD,126,95.0,5,1.5,0.95,2.230251654904644,0.5059609135584344,2.2312322553607693,0.5049170813430391,False,2.226905383435875,0.5030135675336026,2.227883543414292,0.5019039393179513,False
cfg09_lb126_ep95_dd5_bm1.5_cf0.95,SILVER,126,95.0,5,1.5,0.95,1.6855448982015993,0.31991374520743626,1.686659698183187,0.3196772758715409,False,1.6830155366412458,0.3181739585072243,1.6841286627489933,0.31790937005101605,False
cfg09_lb126_ep95_dd5_bm1.5_cf0.95,BTC,126,95.0,5,1.5,0.95,9.649811873490123,1.063293231876806,9.855679074865842,1.0673092354078406,False,9.635335836169924,1.0612601473231054,9.84088617851966,1.0652491717139174,False
cfg09_lb126_ep95_dd5_bm1.5_cf0.95,OIL,126,95.0,5,1.5,0.95,1.1794017789854607,0.2279979266980056,1.1798550873762443,0.22782375575083372,False,1.177632762150001,0.2264818933581758,1.1780850183556857,0.2262905906561879,False
cfg10_lb126_ep95_dd5_bm2.0_cf0.85,SP500,126,95.0,5,2.0,0.85,79.28867730908244,0.1616223201493423,85.27722344483453,0.1530965091120862,False,79.1710059153094,0.16090629090010683,85.14917987853534,0.15233705290993851,False
cfg10_lb126_ep95_dd5_bm2.0_cf0.85,GOLD,126,95.0,5,2.0,0.85,2.2269860846839338,0.5078395390281805,2.2312322553607693,0.5049170813430391,False,2.2236466526830396,0.5050291100331523,2.227883543414292,0.5019039393179513,False
cfg10_lb126_ep95_dd5_bm2.0_cf0.85,SILVER,126,95.0,5,2.0,0.85,1.6825564509357627,0.3200475753416251,1.686659698183187,0.3196772758715409,False,1.6800319538426143,0.3183652666155296,1.6841286627489933,0.31790937005101605,False
